name,leaf_group,hierarchy_path,level_0,level_1,level_2,level_3,level_4,level_5,level_6,outline_level
Средство DOA для мытья пола Лаванда 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство Dr.Aktiv для мытья пола Морозный цитрус 1000мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство Selena для мытья полов Цитрус 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство БиоМио для мытья полов 750мл Мелисса,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство Грасс Universal Cleaner Анти-Пятна 600мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
"Средство для мытья полов Laneko Лаванда 1,5л",Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
"Средство для мытья полов STIMEL Лимон 1,5л",Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство для пола Arena Лимона 1000мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство для пола Грасс Arena водная лилия 1000мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство для пола Грасс Arena цветущий лотос 1000мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство для полов Selena Морская свежесть 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство для полов Санфор 1л Освежающий цитрус,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство для полов Санфор 1л Ультра блеск Цветочный фреш,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
"Средство Синергетик для мытья пола Горная лаванда 0,75л",Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство Эмзаль для ухода за каменными полами 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство Эмзаль для ухода за ламинатом 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Таблетки для утюга Патерра удаляющие накипь 4x20г,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
